Parent Company,Country,count
KUTAI AGRO LESTARI,Indonesia,1
KENCANA PERMATA NUSANTARA,Indonesia,1
LANGGAK INTI LESTARI,Indonesia,1
RAJA MARGA,Indonesia,1
RAUB MINING & DEVELOPMENT COMPANY SDN BHD,Malaysia,1
BELL-KSL SDN BHD,Malaysia,1
PERMATA HIJAU SARANA,Indonesia,1
RIMBO PANJANG SUMBER MAKMUR,Indonesia,1
SARI BUAH SAWIT,Indonesia,1
SEBANGA MULTI SAWIT,Indonesia,1
KRUING LESTARI JAYA,Indonesia,1
KILANG MINYAK KELAPA SAWIT LUM SDN BHD,Malaysia,1
SAWITA KARYA MANUNGGUL,Indonesia,1
SERI LANGAT PALM OIL MILL SDN BHD,Malaysia,1
PERKEBUNAN KALTIM UTAMA I,Indonesia,1
ADITUNGGAL MAHAJAYA,Indonesia,1
SAWIT GRAHA MANUNGGAL,Indonesia,1
BINAKARYA ERAMANDIRI,Indonesia,1
KUTAI BALIAN NAULI,Indonesia,1
BONTI PERMAI JAYA,Indonesia,1
ARRTU PLANTATION,Indonesia,1
MULTI PERKASA SEJAHTERA,Indonesia,1
MUSTIKA AGUNG SARANA SEJAHTERA,Indonesia,1
MUTIARA NUSA AGRO SEJAHTERA,Indonesia,1
OLEAGINOSAS SAN MARCOS LTDA,Colombia,1
SARANA ESA CITA,Indonesia,1
SAWIT KALTIM LESTARI,Indonesia,1
CIPTAMAS BUMISELARAS,Indonesia,1
PERKEBUNAN HASIL MUSI LESTARI,Indonesia,1
SUN SAWIT,Indonesia,1
GANDA BUANINDO,Indonesia,1
SAWIT MAS NUSANTARA,Indonesia,1
PALMINA UTAMA,Indonesia,1
SINTANG AGRO MANDIRI,Indonesia,1
BENUA LAWAS LESTARI,Indonesia,1
LINGGA TIGA SAWIT,Indonesia,1
FAJAR AGRO SEJAHTERA,Indonesia,1
AGRI BUMI SENTOSA,Indonesia,1
PRIMA JAYA LESTARI UTAMA,Indonesia,1
BANGUN TENERA RIAU,Indonesia,1
BASTIAN OLAH SAWIT,Indonesia,1
KARYA BAKTI AGRO SEJAHTERA,Indonesia,1
TIMURJAYA INDOMAKMUR,Indonesia,1
ASIATIC PERSADA,Indonesia,1
SERI MORIB PALM OIL MILL SDN BHD,Malaysia,1
SERI ULU LANGAT PALM OIL MILL SDN BHD,Malaysia,1
ANGSO DUO SAWIT,Indonesia,1
SAWITA PASAMAN JAYA,Indonesia,1
AGRO ABADI,Indonesia,1
BUNGO LIMBUR,Indonesia,1
BUANA SAWIT INDAH,Indonesia,1
GUNA SETIA PRATAMA,Indonesia,1
MULTI GUNA LESTARI ABADI,Indonesia,1
FAJAR SAUDARA LESTARI,Indonesia,1
TAYAN BUKIT SAWIT,Indonesia,1
KHARISMA AGRO SEJAHTERA,Indonesia,1
NIAGA MAS GEMILANG,Indonesia,1
LEOMAS ANUGERAH BERSAUDARA,Indonesia,1
YAPUTRA ALFA PALMINDO,Indonesia,1
SRI GANDA OIL MILL SDN BHD,Malaysia,1
FAIRCO AGRO MANDIRI,Indonesia,1
DIAN ANGGARA PERSADA,Indonesia,1
SEMUNAI SAWIT PERKASA,Indonesia,1
ARYA RAMA PRAKASA,Indonesia,1
KARYA ABADI SAMA SEJATI,Indonesia,1
SUMBER SAWIT NUSANTARA,Indonesia,1
LADANG TAPIS SDN BHD (LTSB),Malaysia,1
SURYABUMI AGROLANGGENG,Indonesia,1
KEDATON MULIA PRIMAS,Indonesia,1
KILANG MINYAK SAWIT MERU SDN BHD,Malaysia,1
AGRO WIJAYA INDUSTRI,Indonesia,1
PERSADA HARAPAN KAHURIPAN,Indonesia,1
MUSTIKA AGRO SARI,Indonesia,1
BUMI SAWIT SUKSES PRATAMA,Indonesia,1
CAKRA ALAM SEJATI,Indonesia,1
PEPUTRA SUPRA JAYA,Indonesia,1
CITRA SAWIT LESTARI,Indonesia,1
SRI INDRAPURA SAWIT LESTARI,Indonesia,1
BAHANA KARYA SEMESTA,Indonesia,1
TIMOR OIL PALM PLANTATION BHD,Malaysia,1
KARYA TEKNIK PLANTATION,Indonesia,1
SASMITA BUMI WIJAYA,Indonesia,1
AGRINA SAWIT PERDANA,Indonesia,1
BUMI DAYA AGROTAMAS,Indonesia,1
SYAUKATH AGRO,Indonesia,1
SUMBER SAWIT SEJAHTERA,Indonesia,1
WAIMUSI AGRO INDAH,Indonesia,1
SELATAN AGRO MAKMUR LESTARI,Indonesia,1
HUTAN ALAM LESTARI,Indonesia,1
CANDI ARTHA,Indonesia,1
PERSADA ALAM JAYA,Indonesia,1
PT LANGKAT NUSANTARA KEPONG,Indonesia,1
SENTOSA KALIMANTAN JAYA,Indonesia,1
LANANG AGRO BERSATU,Indonesia,1
ENSEM SAWITA,Indonesia,1
MULIA TANI JAYA,Indonesia,1
KHARISMA ALAM PERSADA,Indonesia,1
"BRADEN GROUP, S.A.",Guatemala,1
CIPTA FUTURA,Indonesia,1
KURNIA BATANG HARI BERJAYA,Indonesia,1
TEUPIN LADA,Indonesia,1
SENTOSA PRIMA AGRO,Indonesia,1
SAWIT INTI PRIMA PERKASA,Indonesia,1
PERTUBUHAN PELADANG NEGERI PERAK (PPNP),Malaysia,1
PRIMANUSA GLOBAL LESTARI,Indonesia,1
BERKAT SAWIT SUKAMAJU,Indonesia,1
DHARMASRAYA PALMA SEJAHTERA,Indonesia,1
SURYA SUMBER SAWIT ABADI,Indonesia,1
PALMA GEMILANG KENCANA,Indonesia,1
BALAM SAWIT SEJAHTERA,Indonesia,1
SELATAN AGUNG SEJAHTERA,Indonesia,1
PRIMA MAS LESTARI,Indonesia,1
PARASAWITA,Indonesia,1
GLOBALINDO AGRO LESTARI,Indonesia,1
ADIMULIA PALMO LESTARI,Indonesia,1
SRI ANDAL LESTARI,Indonesia,1
KARYA HEVEA INDONESIA,Indonesia,1
SAGO,Indonesia,1
KPN,Indonesia,1
TZEN PLANTATION,Papua New Guinea,1
MUSTIKA AGUNG SAWIT GEMILANG,Indonesia,1
PT HANUSENTRA AGRO LESTARI,Indonesia,1
