UML ID,years,Group Name,Parent Company,Mill Name,RSPO Status,RSPO Type,Date RSPO Certification Status,Latitude,Longitude,GPS coordinates,ISO,Country,Province,District,Confidence level,Alternative name,km_forest_area_00,ha_forest_area_00,km_area,km_0,ha_0,treeloss_km_2001,treeloss_ha_2001,treeloss_km_2002,treeloss_ha_2002,treeloss_km_2003,treeloss_ha_2003,treeloss_km_2004,treeloss_ha_2004,treeloss_km_2005,treeloss_ha_2005,treeloss_km_2006,treeloss_ha_2006,treeloss_km_2007,treeloss_ha_2007,treeloss_km_2008,treeloss_ha_2008,treeloss_km_2009,treeloss_ha_2009,treeloss_km_2010,treeloss_ha_2010,treeloss_km_2011,treeloss_ha_2011,treeloss_km_2012,treeloss_ha_2012,treeloss_km_2013,treeloss_ha_2013,treeloss_km_2014,treeloss_ha_2014,treeloss_km_2015,treeloss_ha_2015,treeloss_km_2016,treeloss_ha_2016,treeloss_km_2017,treeloss_ha_2017,treeloss_km_2018,treeloss_ha_2018,treeloss_km_2019,treeloss_ha_2019,treeloss_km_2020,treeloss_ha_2020,treeloss_km_2021,treeloss_ha_2021,treeloss_km_2022,treeloss_ha_2022,sum_of_treeloss_km,treeloss_sum_proportion_of_forest,remaining_forest_km,remaining_proportion_of_forest,Current Deforestation Score,Past Deforestation Score,Future Risk Score
PO1000002335,"2021,2020,2019",PTPN III,PERKEBUNAN NUSANTARA IV,PULAU RAJA,RSPO Certified,"RSPO Certified, MB",3/31/23,2.7,99.62,"2.701905, 99.623998",IDN,Indonesia,Sumatera Utara,Asahan,2-High Confidence,,27.09,2708.82,27.27,33.94,3393.63,3.05,304.74,0.15,15.21,0.02,1.62,0.17,16.92,0.03,2.7,0.88,88.47,0.81,81,0.13,12.96,0.43,43.02,2.08,208.44,2.62,261.63,1.39,138.78,1.02,102.06,5.13,512.91,0.3,29.97,0.04,3.78,0.72,72.18,0.46,45.81,0.03,3.33,0.03,2.88,0.77,76.68,0.01,0.72,20.26,0.75,6.83,0.25,3,4,3
PO1000002356,"2019,2020,2021",MUSIM MAS,GUNTUNG IDAMAN NUSA,GUNTUNG IDAMAN NUSA 1,RSPO Certified,"RSPO Certified, MB",3/31/23,0.16,103.29,"0.16161, 103.289583",IDN,Indonesia,Riau,Indragiri Hilir,1-Fully Verified,,390.58,39058.29,452.48,629.57,62956.8,8.37,836.73,20.46,2045.79,16.33,1633.32,27,2700.27,24.09,2408.85,6.33,632.97,6.01,601.2,7.36,736.11,5.27,526.77,11.08,1107.9,4.9,489.78,16.7,1670.49,3.3,330.39,15.52,1552.5,3.43,343.08,8.81,880.65,20.98,2097.63,13.39,1339.02,4.35,435.24,4.65,465.39,4.36,435.6,3.41,340.92,236.11,0.6,154.48,0.4,3,3,3
PO1000002360,2020,CARGILL,INDO SAWIT KEKAL,RIVER VIEW,RSPO Certified,"RSPO Certified, IP",3/31/23,-2.51,110.91,"-2.514533, 110.914703",IDN,Indonesia,Kalimantan Barat,Ketapang,1-Fully Verified,,230.25,23025.15,267.23,383.95,38394.9,2.42,242.1,6.53,653.04,1.73,172.89,4.89,489.42,6.98,697.95,43.12,4312.35,15.37,1537.47,7.63,763.11,21.14,2114.28,6.62,661.86,5.69,569.25,5.64,563.76,2.93,293.22,5.01,501.3,5.43,542.79,18.27,1827.09,3.83,382.86,1.7,170.01,1.23,123.39,1.28,127.8,1.14,114.48,2.71,270.54,171.31,0.74,58.94,0.26,2,4,2
PO1000002367,2020,LONSUM,PERUSAHAAN PERKEBUNAN LONDON SUMATRA INDONESIA,TURANGIE,Not RSPO Certified,,3/31/23,3.48,98.27,"3.479046, 98.267726",IDN,Indonesia,Sumatera Utara,Langkat,1-Fully Verified,,313.89,31389.12,299.87,651.12,65112.3,1.52,151.83,0.61,60.75,0.56,56.16,0.62,62.46,0.59,59.13,0.66,65.79,0.72,72,4.8,479.88,4.23,423.09,6.3,629.64,3.21,321.39,1.96,196.11,0.65,64.98,2.11,210.96,0.82,82.35,2.42,242.46,3.16,315.99,2.74,274.5,3.38,338.4,1.72,171.81,3.25,325.44,2.59,259.2,48.64,0.15,265.25,0.85,3,1,3
PO1000002415,2020,UNKNOWN,"THAI TALLOW AND OIL CO, LTD",THAITALLOW AND OIL CO.LTD (SITE 1),RSPO Certified,"RSPO Certified, IP, MB",3/31/23,8.53,99.1,"8.5336472, 99.104283",THA,Thailand,Surat Thani,Prasaeng,1-Fully Verified,,210.44,21043.8,276.56,475.4,47539.89,2.34,234,2.72,271.98,3.95,394.65,3.89,388.8,3.14,314.46,6.78,677.88,2.68,268.2,3.57,357.21,5.26,526.23,7.54,754.47,4.35,435.06,4.17,417.33,5.46,546.39,10.94,1094.49,9.14,913.95,11.49,1148.76,21.68,2168.19,12.24,1224,9.67,967.32,9.3,930.06,11.49,1148.58,9.01,900.9,160.83,0.76,49.61,0.24,5,4,3
PO1000002439,"2020,2019,2021",GENTING PLANTATIONS,GENTING PLANTATIONS BERHAD,GENTING AYER ITEM,RSPO Certified,"RSPO Certified, IP",3/31/23,1.86,103.21,"1.856092, 103.209291",MYS,Malaysia,Johor,Keluang,1-Fully Verified,,573.33,57332.52,716.98,1582.9,158289.93,13.03,1303.2,8.49,848.52,4.03,403.02,10.27,1026.72,11.69,1169.1,6.8,680.13,16.91,1691.19,4.78,478.08,13.72,1372.32,6.17,617.13,13.88,1387.53,9.39,939.15,5.14,513.72,13.57,1356.75,12.73,1272.87,22,2200.05,22.16,2215.89,14.63,1462.77,19.45,1944.63,13.18,1318.05,17.98,1797.93,9.22,922.32,269.21,0.47,304.11,0.53,3,3,3
PO1000002491,"2021,2020,2019",ROYAL GOLDEN EAGLE,INTI INDOSAWIT SUBUR,UKUI II,RSPO Certified,"RSPO Certified, IP",3/31/23,-0.28,102.12,"-0.277042, 102.116078",IDN,Indonesia,Riau,Indragiri Hulu,1-Fully Verified,,148.83,14882.85,178.25,286.94,28694.34,5.89,588.78,1.37,136.62,1.55,154.8,8.11,811.08,10.97,1096.74,0.41,41.04,7.34,734.04,3.38,338.13,0.41,41.31,8.51,850.68,6.94,694.44,4.4,440.46,0.32,31.59,0.37,37.26,0.1,10.26,1.53,152.82,1.2,120.33,0.41,41.49,0.64,64.26,0.51,51.3,6,600.48,7.54,754.2,77.92,0.52,70.91,0.48,5,3,4
PO1000002520,"2019,2021,2020",PTPN III,PERKEBUNAN NUSANTARA IV,PABATU,RSPO Certified,"RSPO Certified, MB",3/31/23,3.29,99.11,"3.286111, 99.109167",IDN,Indonesia,Sumatera Utara,Serdang Bedagai,1-Fully Verified,,361.4,36140.04,401.76,1274.22,127422.09,8.53,852.66,4.03,403.11,5.01,501.39,7.04,703.71,4.8,480.42,7.82,782.46,2.08,208.17,4.09,408.69,9.6,959.94,4.26,425.52,2.65,265.14,4.07,407.43,3.42,342,4.74,473.58,6.15,615.06,11.27,1127.16,12.23,1223.01,9.37,936.81,4.3,429.66,4.81,481.32,3.81,380.97,3.19,319.32,127.28,0.35,234.13,0.65,3,2,3
PO1000002539,"2020,2019,2021",PTPN III,PERKEBUNAN NUSANTARA IV,DOLOK ILIR,RSPO Certified,"RSPO Certified, MB",3/31/23,3.12,99.16,"3.120417, 99.159067",IDN,Indonesia,Sumatera Utara,Simalungun,1-Fully Verified,,398.65,39864.6,489.39,927.22,92722.23,11.32,1132.02,1.4,140.49,1.11,110.97,4.81,481.23,2.82,282.24,4.95,494.82,3.45,345.24,1.47,146.61,7.03,702.99,8.55,854.91,7.8,780.12,8.03,802.8,3.18,318.06,14.54,1453.5,9.12,911.52,19.34,1934.19,11.63,1162.62,10.99,1098.81,7.75,774.54,9.65,965.25,6.28,628.11,8.57,857.43,163.78,0.41,234.86,0.59,3,3,3
PO1000002543,"2020,2021,2019",TIAN SIANG HOLDINGS SDN BHD,TIAN SIANG OILL MILL (AIR KUNING) SDN BHD,TIAN SIANG AIR KUNING,RSPO Certified,"RSPO Certified, MB",3/31/23,4.16,101.16,"4.1614, 101.1648",MYS,Malaysia,Perak,Batang Padang,1-Fully Verified,,3.38,337.59,7.06,12.63,1262.7,0.08,7.74,0.02,1.8,0.01,0.99,0.02,1.53,0,0.45,0.16,16.47,0.58,57.51,0,0,0.06,6.03,0.13,13.41,0.02,2.34,0.12,11.61,0,0.36,0.15,14.67,0.24,24.03,0.07,6.93,0.1,9.63,0.08,8.28,0.07,7.47,0.01,1.17,0.18,18.45,0.1,9.81,2.21,0.65,1.17,0.35,5,4,4
