UML ID,years,Group Name,Parent Company,Mill Name,RSPO Status,RSPO Type,Date RSPO Certification Status,Latitude,Longitude,GPS coordinates,ISO,Country,Province,District,Confidence level,Alternative name,km_forest_area_00,ha_forest_area_00,km_area,km_0,ha_0,treeloss_km_2001,treeloss_ha_2001,treeloss_km_2002,treeloss_ha_2002,treeloss_km_2003,treeloss_ha_2003,treeloss_km_2004,treeloss_ha_2004,treeloss_km_2005,treeloss_ha_2005,treeloss_km_2006,treeloss_ha_2006,treeloss_km_2007,treeloss_ha_2007,treeloss_km_2008,treeloss_ha_2008,treeloss_km_2009,treeloss_ha_2009,treeloss_km_2010,treeloss_ha_2010,treeloss_km_2011,treeloss_ha_2011,treeloss_km_2012,treeloss_ha_2012,treeloss_km_2013,treeloss_ha_2013,treeloss_km_2014,treeloss_ha_2014,treeloss_km_2015,treeloss_ha_2015,treeloss_km_2016,treeloss_ha_2016,treeloss_km_2017,treeloss_ha_2017,treeloss_km_2018,treeloss_ha_2018,treeloss_km_2019,treeloss_ha_2019,treeloss_km_2020,treeloss_ha_2020,treeloss_km_2021,treeloss_ha_2021,treeloss_km_2022,treeloss_ha_2022,sum_of_treeloss_km,treeloss_sum_proportion_of_forest,remaining_forest_km,remaining_proportion_of_forest,Current Deforestation Score,Past Deforestation Score,Future Risk Score
PO1000007533,2020,GAMA PLANTATIONS,WAWASAN KEBUN NUSANTARA,SUNGAI KUMBAH,Not RSPO Certified,,3/31/23,1.27,109.82,"1.26689, 109.817139",IDN,Indonesia,Kalimantan Barat,Bengkayang,1-Fully Verified,,1369.01,136900.89,1338.07,2225.06,222505.65,15.31,1531.44,10.12,1012.5,10.06,1006.2,27.42,2741.94,20.16,2015.64,9.56,955.62,28.2,2819.61,31.95,3194.82,25.59,2558.52,5.92,591.57,26.83,2682.99,22.28,2227.5,27.7,2770.2,41.57,4156.74,20.24,2024.01,42.93,4293.45,32.11,3210.93,27.42,2741.58,24.06,2406.42,28.83,2882.79,22.54,2254.32,19.56,1956.06,520.35,0.38,848.66,0.62,3,3,3
PO1000007534,"2020,2021",LYMAN AGRO,KALIMANTAN SANGGAR PUSAKA,KALIMANTAN SANGGAR PUSAKA,Not RSPO Certified,,3/31/23,0.08,111.19,"0.08311, 111.19205",IDN,Indonesia,Kalimantan Barat,Sekadau,1-Fully Verified,,296.57,29657.07,398.47,741.86,74186.1,1.93,192.6,3.33,333,1.85,184.77,3.79,379.44,2.75,275.4,6.83,683.01,6.76,675.81,9.59,958.95,8.02,801.54,4.2,420.21,7.12,712.44,14.57,1456.92,5.09,509.04,6.9,690.03,6.95,694.62,13.68,1368.27,7.71,770.58,9.76,976.05,8.3,830.43,5.21,521.28,3.08,307.62,4.23,423.45,141.65,0.48,154.92,0.52,3,3,3
PO1000007536,2020,SIN HUAT HIN,SIN HUAT HIN,SIN HUAT HIN PALM OIL MILL (KUALA SELANGOR) SDN BHD,Not RSPO Certified,,3/31/23,3.34,101.29,"3.344606, 101.291608",MYS,Malaysia,Selangor,Kuala Selangor,1-Fully Verified,KAMPUNG KUANTAN BHD,415.7,41570.01,582.57,1470.55,147054.78,2.54,254.43,3.41,340.56,1.88,188.19,3.02,302.4,2.08,208.26,1.97,197.46,4.67,466.74,2.13,212.58,9.5,949.86,6,599.67,1.05,105.12,4.2,419.85,2.59,258.75,6.11,611.37,1.75,175.23,9.56,956.07,6.75,675.09,4.64,464.4,10.08,1007.91,3.92,392.31,7.94,793.98,3.12,312.39,98.93,0.24,316.77,0.76,3,1,3
PO1000007537,"2020,2021",UNKNOWN,CAHAYA INTI SAWIT,CAHAYA INTI SAWIT,Not RSPO Certified,,3/31/23,1.44,100.29,"1.440833, 100.291111",IDN,Indonesia,Sumatera Utara,Padang Lawas Utara,1-Fully Verified,,18.01,1801.17,85.77,148.58,14858.19,1.43,143.46,4.84,484.2,0.22,21.78,2.6,259.83,1.5,149.58,0.29,29.16,0.07,6.93,0.44,43.65,0.86,85.95,2.23,222.93,0.23,22.59,0.14,14.49,0.05,5.4,0.08,8.1,0.48,48.15,0.32,32.04,0.47,47.25,0.05,4.86,0.09,8.64,0.16,15.66,0.18,18.27,0.05,5.13,16.78,0.93,1.23,0.07,2,5,1
PO1000007539,"2021,2020",NBPOL,NEW BRITAIN PALM OIL,KAPIURA,RSPO Certified,"RSPO Certified, IP",3/31/23,-5.62,150.68,"-5.624083, 150.6847",PNG,Papua New Guinea,West New Britain,Talasea,1-Fully Verified,,3755.59,375558.57,3417.1,5967.06,596706.3,3.55,354.6,6.99,698.76,8.01,800.55,18.49,1849.41,14.74,1473.66,29.87,2986.92,23.73,2372.85,26.55,2654.55,12.73,1273.05,14.28,1428.21,9.77,976.77,16.83,1682.73,10.95,1095.3,15.66,1566.18,28.4,2840.22,16.77,1677.06,10.94,1093.77,17.53,1752.57,10.07,1007.46,10.81,1080.9,12.58,1258.02,32.12,3211.92,351.35,0.09,3404.23,0.91,2,1,3
PO1000007540,2020,UNKNOWN,PALUTA INTI SAWIT,PALUTA INTI SAWIT,Not RSPO Certified,,3/31/23,1.55,99.84,"1.55403, 99.835694",IDN,Indonesia,Sumatera Utara,Padang Lawas Utara,1-Fully Verified,,446.21,44621.19,660.72,1579.74,157974.48,3.46,346.5,5.6,559.98,2.37,236.97,5.05,505.08,8.37,837.45,9.89,988.74,5.12,511.92,13.72,1371.69,11.72,1172.25,4.66,465.75,14.61,1461.24,5.26,526.23,5.4,539.64,6.78,677.88,3.32,331.65,7.84,784.17,9.71,970.92,7.54,753.75,5.18,517.86,6.48,647.55,7.01,701.28,7.55,755.1,156.64,0.35,289.58,0.65,3,2,3
PO1000007541,2020,UNKNOWN,GRUTI LESTARI PRATAMA,GRUTI LESTARI PRATAMA,Not RSPO Certified,,3/31/23,0.51,99.27,"0.51375, 99.271329",IDN,Indonesia,Sumatera Utara,Mandailing Natal,1-Fully Verified,,101.8,10180.17,130.37,276.04,27603.81,0.96,96.03,1.05,105.3,1.2,119.7,1.49,148.68,1.41,141.3,2.31,230.58,1.87,187.11,3.45,344.97,2.68,267.57,1.02,101.61,1.96,195.66,1.13,113.13,3.59,358.65,3.35,334.53,3.32,331.83,2.97,297.27,3.2,320.13,4.2,420.39,2.92,292.14,1.48,147.69,3.96,395.55,2.45,244.8,51.95,0.51,49.86,0.49,4,3,4
PO1000007546,"2020,2021",SUPERVENTURE,KARYA INDORATA PERSADA,KARYA INDORATA PERSADA,Not RSPO Certified,,3/31/23,0.11,101.24,"0.113361, 101.2356",IDN,Indonesia,Riau,Kampar,1-Fully Verified,,210.71,21070.62,235.89,380.49,38049.21,1.4,139.5,5.49,549.27,0.66,65.52,1.08,108.27,8.14,814.41,25.93,2593.08,40.25,4024.98,17.75,1775.25,11.42,1141.56,17.76,1775.52,7.56,756.09,18.69,1868.85,5.59,559.44,3.7,370.35,3.68,368.19,4.97,496.53,7.12,711.63,2.92,292.5,1.61,160.65,2.51,251.28,4.99,498.87,2.69,268.65,195.9,0.93,14.8,0.07,3,5,2
PO1000007548,2020,MUSIM MAS,INDOMAKMUR SAWIT BERJAYA,INDOMAKMUR SAWIT BERJAYA,Not RSPO Certified,,3/31/23,0.93,100.35,"0.93491, 100.351975",IDN,Indonesia,Riau,Rokan Hulu,1-Fully Verified,,477.55,47754.9,588.91,1050.13,105012.9,5.34,534.15,7.31,731.25,3.26,325.71,8.15,814.86,14.39,1439.19,7.14,713.88,8.91,890.73,10.85,1085.4,26.36,2636.46,8.09,809.19,2.92,291.96,5.86,586.26,5.17,517.23,9.25,925.11,4.5,449.73,11.9,1189.98,12.9,1290.24,7.8,780.12,6.92,692.19,10.69,1068.57,13.21,1321.02,13.98,1397.97,204.91,0.43,272.64,0.57,4,3,4
PO1000007561,"2020,2021",CT AGRO,KUTAI AGRO LESTARI,KUTAI AGRO LESTARI,Not RSPO Certified,,3/31/23,-0.64,115.74,"-0.642833, 115.7388",IDN,Indonesia,Kalimantan Timur,Kutai Barat,1-Fully Verified,,2389.03,238902.66,2312.61,3202.95,320294.97,10.66,1065.96,20.36,2035.98,18,1799.64,18.6,1859.85,8.61,860.67,41.54,4153.5,22.79,2278.71,14.9,1490.13,47.39,4738.59,38.62,3862.17,28.64,2863.89,77.37,7736.76,66.83,6682.59,54.23,5422.77,100.93,10092.96,137.34,13733.55,45.59,4558.86,131.35,13135.14,113.2,11319.66,62.26,6226.47,27.67,2767.14,16.45,1644.93,1103.3,0.46,1285.73,0.54,3,3,3
