UML ID,years,Group Name,Parent Company,Mill Name,RSPO Status,RSPO Type,Date RSPO Certification Status,Latitude,Longitude,GPS coordinates,ISO,Country,Province,District,Confidence level,Alternative name,km_forest_area_00,ha_forest_area_00,km_area,km_0,ha_0,treeloss_km_2001,treeloss_ha_2001,treeloss_km_2002,treeloss_ha_2002,treeloss_km_2003,treeloss_ha_2003,treeloss_km_2004,treeloss_ha_2004,treeloss_km_2005,treeloss_ha_2005,treeloss_km_2006,treeloss_ha_2006,treeloss_km_2007,treeloss_ha_2007,treeloss_km_2008,treeloss_ha_2008,treeloss_km_2009,treeloss_ha_2009,treeloss_km_2010,treeloss_ha_2010,treeloss_km_2011,treeloss_ha_2011,treeloss_km_2012,treeloss_ha_2012,treeloss_km_2013,treeloss_ha_2013,treeloss_km_2014,treeloss_ha_2014,treeloss_km_2015,treeloss_ha_2015,treeloss_km_2016,treeloss_ha_2016,treeloss_km_2017,treeloss_ha_2017,treeloss_km_2018,treeloss_ha_2018,treeloss_km_2019,treeloss_ha_2019,treeloss_km_2020,treeloss_ha_2020,treeloss_km_2021,treeloss_ha_2021,treeloss_km_2022,treeloss_ha_2022,sum_of_treeloss_km,treeloss_sum_proportion_of_forest,remaining_forest_km,remaining_proportion_of_forest,Current Deforestation Score,Past Deforestation Score,Future Risk Score
PO1000004437,2020,GLOBAL PALM RESOURCES HOLDINGS,PRAKARSA TANI SEJATI,PRAKARSA TANI SEJATI,Not RSPO Certified,,3/31/23,-1.1,110.47,"-1.099617, 110.46815",IDN,Indonesia,Kalimantan Barat,Ketapang,1-Fully Verified,,294.06,29405.61,309.11,507.12,50711.58,2.39,238.68,1.31,131.22,1.88,188.1,3.53,353.43,2.3,230.31,3.72,371.7,0.68,68.4,16.31,1631.25,8.45,845.1,5.22,522,6.03,603.36,5.88,588.24,3.36,336.15,5.76,576.27,4.67,467.1,17.43,1742.85,10.02,1001.52,8.9,889.74,19.15,1914.66,3.73,373.14,10.04,1004.04,8.13,813.06,148.9,0.51,145.15,0.49,4,3,4
PO1000004439,2020,MAKIN,PRODUK SAWITINDO JAMBI,PELABUHAN DAGANG,Not RSPO Certified,,3/31/23,-1.14,103.07,"-1.139183, 103.07365",IDN,Indonesia,Jambi,Tanjung Jabung B,1-Fully Verified,,119.85,11985.03,131.33,186.23,18623.34,0.56,56.34,1.95,194.85,6.43,643.32,8.86,886.32,6.46,646.11,9.48,948.42,7.84,783.99,12.38,1238.49,6.67,667.08,0.05,5.04,1.24,123.93,7.26,725.85,1.07,107.37,1.8,179.91,2,200.07,2.65,264.78,3.35,334.8,2.29,228.6,1.45,145.17,1.19,118.89,1.17,117.27,1.35,134.82,87.51,0.73,32.34,0.27,3,4,3
PO1000004441,2020,UNKNOWN,SAWIT ANUGERAH SEJAHTERA,SAWIT ANUGERAH SEJAHTERA,Not RSPO Certified,,3/31/23,1.15,101.28,"1.151667, 101.276717",IDN,Indonesia,Riau,Bengkalis,1-Fully Verified,,18.49,1848.69,28.7,61.41,6140.97,0.17,17.01,0.22,21.78,0.09,9.18,0.21,20.97,0.59,58.86,0.24,23.94,0.32,31.5,0.17,17.1,0.08,7.74,0.89,88.56,0.74,74.43,2.1,210.33,4.06,406.35,2.57,256.86,0.47,47.43,0.46,46.08,0.37,37.17,0.15,15.48,0.22,21.69,0.16,15.57,0.17,17.1,0.33,32.94,14.78,0.8,3.71,0.2,3,4,3
PO1000004442,2020,UNKNOWN,KENCANA PERSADA NUSANTARA,KENCANA PERSADA NUSANTARA,Not RSPO Certified,,3/31/23,1.18,100.23,"1.175407, 100.232727",IDN,Indonesia,Riau,Rokan Hulu,1-Fully Verified,,143.09,14309.19,181.12,250.88,25088.4,5.57,557.46,8.97,897.3,12.62,1261.53,55.14,5514.03,14.64,1463.76,3.54,353.97,1.29,128.61,0.79,78.93,18.06,1805.94,2.27,226.98,2.23,223.11,0.37,36.9,0.09,9.27,0.17,17.01,0.26,26.19,0.69,68.76,0.97,96.93,0.52,51.84,0.44,43.92,0.6,60.03,0.6,60.48,0.56,55.53,130.38,0.91,12.71,0.09,2,5,1
PO1000004443,2020,HUTAHAEAN,HUTAHAEAN,DALU DALU,Not RSPO Certified,,3/31/23,1.18,100.27,"1.178517, 100.2703",IDN,Indonesia,Riau,Rokan Hulu,1-Fully Verified,,58.49,5849.28,88.82,137.57,13757.4,0.26,25.65,0.37,37.08,0.14,14.4,0.54,53.55,1.56,156.24,0.63,62.82,0.19,18.54,0.35,35.19,0.48,48.33,0.11,11.16,0.26,26.28,0.28,28.44,0.07,6.93,0.34,34.2,0.21,21.15,0.86,86.22,1.83,182.79,3.89,389.16,6.4,640.17,1.41,141.03,0.93,93.24,2.34,233.64,23.46,0.4,35.03,0.6,4,3,4
PO1000004444,2020,TRINITY INTERLINK,MERANGKAI ARTHA NUSANTARA,MERANGKAI ARTHA NUSANTARA,Not RSPO Certified,,3/31/23,1.21,100.29,"1.212517, 100.29345",IDN,Indonesia,Riau,Rokan Hulu,1-Fully Verified,,46.74,4674.33,93.22,193.22,19321.83,0.1,10.44,0.17,17.28,0.01,1.44,0.13,12.96,0.12,11.52,0.08,7.65,0.03,3.06,0.03,2.88,0.05,4.95,0.07,6.75,0.03,3.33,0.04,3.78,0.03,3.24,0.12,12.33,0.22,22.05,0.15,14.94,0.39,38.7,0.13,12.69,0.14,14.04,0.32,32.4,0.5,49.77,0.3,29.61,3.16,0.07,43.59,0.93,3,1,3
PO1000004446,2020,TELADAN PRIMA,TELEN,PENGADAN BAAY,Not RSPO Certified,,3/31/23,1.25,117.69,"1.247783, 117.693483",IDN,Indonesia,Kalimantan Timur,Kutai Timur,1-Fully Verified,,291.51,29150.82,317.51,362.47,36246.6,3.37,336.96,1.71,170.91,1.67,167.49,4.39,438.75,3.84,383.58,15.33,1532.7,31.67,3166.65,0.32,32.22,29.38,2938.32,9.66,966.06,7.74,773.55,4.78,478.26,6.35,634.59,6.01,601.02,20.47,2047.05,46.1,4609.62,18.68,1868.4,6.67,666.63,9.14,913.5,6.52,652.5,6.62,661.5,7.37,737.1,247.77,0.85,43.73,0.15,4,5,3
PO1000004448,2020,KALIMANTAN SAWIT KUSUMA (KSK),FAJAR SAUDARA KUSUMA,SEBAWI,Not RSPO Certified,,3/31/23,1.27,109.23,"1.26659, 109.22532",IDN,Indonesia,Kalimantan Barat,Sambas,1-Fully Verified,,406.81,40680.63,777.48,1901.76,190175.67,4.25,424.53,5.51,551.34,0.46,45.63,4.03,403.02,2.7,270.27,2.46,246.24,3.32,331.56,25.22,2522.16,20.86,2086.29,10.45,1045.08,17.83,1782.63,16.41,1640.61,11.5,1149.57,21.96,2195.73,5.23,523.35,11.11,1111.41,7.15,714.96,8.67,866.7,3.81,381.24,5.36,535.95,5.76,575.91,10.14,1014.03,204.18,0.5,202.62,0.5,3,3,3
PO1000004449,2020,NAGAMAS,NAGAMAS AGRO MULIA,NAGAMAS AGRO MULYA,Not RSPO Certified,,3/31/23,1.3,100.4,"1.3011, 100.3977",IDN,Indonesia,Riau,Rokan Hulu,1-Fully Verified,,60.57,6057.45,114.76,256.05,25605,0.6,60.3,1.06,105.75,0.63,62.55,1.92,192.06,2.14,213.84,2.07,207.27,1.11,110.7,0.67,66.87,1.25,125.28,0.84,83.61,0.59,59.13,0.97,97.47,0.47,47.43,0.85,84.51,0.59,58.77,1.47,146.88,1.94,193.77,1.17,116.64,0.59,58.77,0.76,76.05,0.7,70.11,0.99,99,23.37,0.39,37.21,0.61,3,3,3
PO1000004452,2020,UNKNOWN,PALMA ABADI,PALMA ABADI,Not RSPO Certified,,3/31/23,-1.32,103.27,"-1.3213, 103.26525",IDN,Indonesia,Jambi,Muaro Jambi,1-Fully Verified,,355.89,35589.24,390.06,970.11,97011.45,2.86,285.57,7.9,789.57,6.38,637.92,15.94,1594.08,15.78,1578.33,51.27,5126.85,45.9,4589.73,45.84,4583.79,32.35,3234.69,2.48,247.86,14.39,1439.1,8.03,802.62,6.14,613.8,6.63,663.21,3.94,394.38,6.93,692.73,5.24,524.43,3.74,374.4,1.39,138.69,2.27,227.16,8.53,853.2,6.49,649.08,300.41,0.84,55.48,0.16,3,5,3
