Parent Company,Country,count
BINU PLANTATION SDN BHD,Malaysia,1
KUMPULAN KRIS JATI SDN BHD,Malaysia,1
LADANG SERASA SDN BHD,Malaysia,1
MELUR GEMILANG SDN BHD,Malaysia,1
RETUS PLANTATION SDN BHD,Malaysia,1
SOLAR GREEN SDN BHD,Malaysia,1
TUNG HUP PALM OIL MILL SDN BHD,Malaysia,1
UNIQUE PALM OIL MILL SDN BHD,Malaysia,1
MERIDIAN PLANTATIONS SDN BHD,Malaysia,1
SYARIKAT PENANAMAN BUKIT SENORANG SDN BHD,Malaysia,1
UNITED OIL PALM INDUSTRIES SDN BHD,Malaysia,1
VEETAR PALM OIL MILL SDN BHD,Malaysia,1
VICTORY ENGHOE PLANTATIONS SDN BHD,Malaysia,1
VILA SUTERA SDN BHD,Malaysia,1
WINSOME HARVEST PALM OIL MILL SDN BHD,Malaysia,1
WEALTH LEAP SDN BHD (HARVARD MASTER),Malaysia,1
WTK OIL MILL SDN BHD,Malaysia,1
YEE LEE PALM OIL INDUSTRIES SDN BHD,Malaysia,1
YPJ PLANTATIONS SDN BHD,Malaysia,1
YUWANG PALM OIL MILL SDN BHD,Malaysia,1
HILLTOP PALMS SDN BHD,Malaysia,1
GUNUNG TUA ABADI,Indonesia,1
SARANA PRIMA MULTI NIAGA,Indonesia,1
AGROPECUARIA LA RIVERA GAITAN SAS,Colombia,1
COOPERATIVA AGROINDUSTRIAL DE PRODUCTORES DE PALMA ACEITERA R.L. (COOPEAGROPAL R.L.),Costa Rica,1
ENTREPALMAS S.A.S.,Colombia,1
EXTRACTORA LA PAZ S.A.,Colombia,1
ACEITES MORICHAL S.A.,Colombia,1
INVERSIONES LA MEJORANA S.A.S,Colombia,1
ALIANZA ORIENTAL S.A.,Colombia,1
SAPUGA S.A.,Colombia,1
HACIENDA LA CABAÑA S.A.,Colombia,1
PALMERAS SANTANA LTDA,Colombia,1
AGROINDUSTRIAL PALMA REAL S.A. DE C.V.,Honduras,1
EXTRACTORA CUSIANA LTDA,Colombia,1
CORPORACION INDUSTRIAL DE SULA (COINSU),Honduras,1
PALMAR DE ALTAMIRA S.A.S.,Colombia,1
PALMEROS DE AGUAN S.A.  (PALMASA),Honduras,1
FEDEPALMA,Colombia,1
EXTRACTORA MONTERREY  S.A.,Colombia,1
SPO AGRO INDUSTRIES,Thailand,1
PALMERAS DE PUERTO WILCHES S.A.,Colombia,1
